airportName,country,airportCode
Fort Mcmurray,Canada,YMM
Moosonee,Canada,YMO
Maniwaki,Canada,YMW
Montreal,Canada,YMX
Natashquan,Canada,YNA
Gatineau,Canada,YND
Matagami,Canada,YNM
Old Crow,Canada,YOC
Cold Lake,Canada,YOD
High Level,Canada,YOJ
Ottawa,Canada,YOW
Prince Albert,Canada,YPA
Peace River,Canada,YPE
Portage-la-prairie,Canada,YPG
Pitt Meadows,Canada,\N
Pickle Lake,Canada,YPL
Port Menier,Canada,YPN
Peterborough,Canada,YPQ
Prince Pupert,Canada,YPR
Fort Chipewyan,Canada,YPY
Muskoka,Canada,YQA
Quebec,Canada,YQB
Red Deer Industrial,Canada,YQF
Windsor,Canada,YQG
Watson Lake,Canada,YQH
Kenora,Canada,YQK
Lethbridge,Canada,YQL
Moncton,Canada,YQM
Comox,Canada,YQQ
Regina,Canada,YQR
Thunder Bay,Canada,YQT
Grande Prairie,Canada,YQU
Yorkton,Canada,YQV
North Battleford,Canada,YQW
Gander,Canada,YQX
Sydney,Canada,YQY
Quesnel,Canada,YQZ
Resolute,Canada,YRB
Riviere Du Loup,Canada,YRI
Roberval,Canada,YRJ
Rocky Mountain House,Canada,YRM
Rankin Inlet,Canada,YRT
Sudbury,Canada,YSB
Sherbrooke,Canada,YSC
St. John,Canada,YSJ
Fort Smith,Canada,YSM
Nanisivik,Canada,YSR
Summerside,Canada,YSU
Sachs Harbour,Canada,YSY
Cape Dorset,Canada,YTE
Thompson,Canada,YTH
Trenton,Canada,YTR
Timmins,Canada,YTS
Toronto,Canada,YTZ
Tuktoyaktuk,Canada,YUB
Montreal,Canada,YUL
Repulse Bay,Canada,YUT
Hall Beach,Canada,YUX
Rouyn,Canada,YUY
La Ronge,Canada,YVC
Vermillion,Canada,YVG
Broughton Island,Canada,YVM
Val D'or,Canada,YVO
Quujjuaq,Canada,YVP
Norman Wells,Canada,YVQ
Vancouver,Canada,YVR
Buffalo Narrows,Canada,YVT
Wiarton,Canada,YVV
Petawawa,Canada,YWA
Winnipeg,Canada,YWG
Wabush,Canada,YWK
Williams Lake,Canada,YWL
Wrigley,Canada,YWY
Cranbrook,Canada,YXC
Edmonton,Canada,YXD
Saskatoon,Canada,YXE
Medicine Hat,Canada,YXH
Fort Saint John,Canada,YXJ
Sioux Lookout,Canada,YXL
Pangnirtung,Canada,YXP
Earlton,Canada,YXR
Prince George,Canada,YXS
Terrace,Canada,YXT
London,Canada,YXU
Abbotsford,Canada,YXX
Whitehorse,Canada,YXY
North Bay,Canada,YYB
Calgary,Canada,YYC
Smithers,Canada,YYD
Fort Nelson,Canada,YYE
Penticton,Canada,YYF
Charlottetown,Canada,YYG
Spence Bay,Canada,YYH
Victoria,Canada,YYJ
Lynn Lake,Canada,YYL
Swift Current,Canada,YYN
Churchill,Canada,YYQ
Goose Bay,Canada,YYR
St. John's,Canada,YYT
Kapuskasing,Canada,YYU
Armstrong,Canada,YYW
Mont Joli,Canada,YYY
Toronto,Canada,YYZ
Toronto,Canada,YZD
Gore Bay,Canada,YZE
Yellowknife,Canada,YZF
Slave Lake,Canada,YZH
Sandspit,Canada,YZP
Sarnia,Canada,YZR
Port Hardy,Canada,YZT
Whitecourt,Canada,YZU
Sept-iles,Canada,YZV
Teslin,Canada,YZW
Greenwood,Canada,YZX
Faro,Canada,ZFA
Fort Mcpherson,Canada,ZFM
Blida,Algeria,QLD
Bou Saada,Algeria,BUJ
Bejaja,Algeria,BJA
Algier,Algeria,ALG
Djanet,Algeria,DJG
Boufarik,Algeria,\N
Reggan,Algeria,\N
Illizi,Algeria,VVZ
Ain Oussera,Algeria,\N
Tamanrasset,Algeria,TMR
Jijel,Algeria,GJL
Mecheria,Algeria,MZW
Relizane,Algeria,\N
Annaba,Algeria,AAE
Constantine,Algeria,CZL
Tebessa,Algeria,TEE
Tilrempt,Algeria,HRM
Tiaret,Algeria,TID
Bou Sfer,Algeria,\N
Tindouf,Algeria,TIN
Ech-cheliff,Algeria,CFK
Oran,Algeria,TAF
Tlemcen,Algeria,TLM
Oran,Algeria,ORN
Sidi Bel Abbes,Algeria,BFW
Ghriss,Algeria,MUW
Adrar,Algeria,AZR
Biskra,Algeria,BSK
El Golea,Algeria,ELG
Ghardaia,Algeria,GHA
Hassi Messaoud,Algeria,HME
In Salah,Algeria,INZ
Touggourt,Algeria,TGR
Laghouat,Algeria,LOO
Timimoun,Algeria,TMX
Ouargla,Algeria,OGX
Zarzaitine,Algeria,IAM
Cotonou,Benin,COO
Ouagadougou,Burkina Faso,OUA
Bobo-dioulasso,Burkina Faso,BOY
Accra,Ghana,ACC
Tamale,Ghana,TML
Wa,Ghana,\N
Sunyani,Ghana,NYI
Takoradi,Ghana,TKD
Abidjan,Cote d'Ivoire,ABJ
Bouake,Cote d'Ivoire,BYK
Daloa,Cote d'Ivoire,DJO
Korhogo,Cote d'Ivoire,HGO
Man,Cote d'Ivoire,MJC
San Pedro,Cote d'Ivoire,SPY
Yamoussoukro,Cote d'Ivoire,ASK
Abuja,Nigeria,ABV
Akure,Nigeria,AKR
Benin,Nigeria,BNI
Calabar,Nigeria,CBQ
Enugu,Nigeria,ENU
Gusau,Nigeria,\N
Ibadan,Nigeria,IBA
Ilorin,Nigeria,ILR
Jos,Nigeria,JOS
Kaduna,Nigeria,KAD
Kano,Nigeria,KAN
Maiduguri,Nigeria,MIU
Makurdi,Nigeria,MDI
Lagos,Nigeria,LOS
Minna,Nigeria,MXJ
Port Hartcourt,Nigeria,PHC
Sokoto,Nigeria,SKO
Yola,Nigeria,YOL
Zaria,Nigeria,ZAR
Maradi,Niger,MFQ
Niamey,Niger,NIM
Tahoua,Niger,THZ
Agadez,Niger,AJY
Dirkou,Niger,\N
Diffa,Niger,\N
Zinder,Niger,ZND
Monastir,Tunisia,MIR
Tunis,Tunisia,TUN
Bizerte,Tunisia,\N
Remada,Tunisia,\N
Gafsa,Tunisia,GAF
Gabes,Tunisia,GAE
Bordj El Amri,Tunisia,\N
Djerba,Tunisia,DJE
El Borma,Tunisia,EBM
Sfax,Tunisia,SFA
Tozeur,Tunisia,TOE
Niatougou,Togo,LRL
Lome,Togo,LFW
Antwerp,Belgium,ANR
Beauvechain,Belgium,\N
Kleine Brogel,Belgium,\N
Brussels,Belgium,BRU
Bertrix,Belgium,\N
Charleroi,Belgium,CRL
Chievres,Belgium,\N
Koksijde,Belgium,\N
Florennes,Belgium,\N
Kortrijk-vevelgem,Belgium,KJK
Liege,Belgium,LGG
Ostend,Belgium,OST
Zutendaal,Belgium,\N
Sint-truiden,Belgium,\N
St.-hubert,Belgium,\N
Ursel,Belgium,\N
Weelde,Belgium,\N
Zoersel,Belgium,OBL
Bautzen,Germany,\N
Altenburg,Germany,AOC
Dessau,Germany,\N
Eisenhuettenstadt,Germany,\N
Suhl,Germany,\N
Muehlhausen,Germany,\N
Halle,Germany,\N
Riesa,Germany,IES
Rechlin-laerz,Germany,REB
Strausberg,Germany,\N
Schoenhagen,Germany,QXH
Barth,Germany,BBH
Jena,Germany,\N
Kyritz,Germany,\N
Magdeburg,Germany,ZMG
Rothenburg/ol,Germany,\N
Anklam,Germany,\N
Cottbus,Germany,CBU
Kamenz,Germany,\N
Berlin,Germany,SXF
Dresden,Germany,DRS
Erfurt,Germany,ERF
Frankfurt,Germany,FRA
Munster,Germany,FMO
Hamburg,Germany,HAM
Berlin,Germany,THF
Cologne,Germany,CGN
Duesseldorf,Germany,DUS
Munich,Germany,MUC
Nuernberg,Germany,NUE
Leipzig,Germany,LEJ
Saarbruecken,Germany,SCN
Stuttgart,Germany,STR
Berlin,Germany,TXL
Hannover,Germany,HAJ
Bremen,Germany,BRE
Egelsbach,Germany,QEF
Hahn,Germany,HHN
Mannheim,Germany,MHG
Allendorf,Germany,\N
Worms,Germany,\N
Mainz,Germany,\N
Eisenach,Germany,EIB
Siegerland,Germany,SGE
Hamburg,Germany,XFW
Kiel,Germany,KEL
Luebeck,Germany,LBC
Dahlemer Binz,Germany,\N
Meinerzhagen,Germany,\N
Arnsberg,Germany,\N
Essen,Germany,ESS
Bielefeld,Germany,BFE
Moenchengladbach,Germany,MGL
Paderborn,Germany,PAD
Stadtlohn,Germany,\N
Dortmund,Germany,DTM
Augsburg,Germany,AGB
Biberach,Germany,\N
Eggenfelden,Germany,\N
Mindelheim,Germany,\N
Oberpfaffenhofen,Germany,OBF
Straubing,Germany,RBM
Vilshofen,Germany,\N
Leutkirch,Germany,\N
Friedrichshafen,Germany,FDH
Parchim,Germany,SZW
Stendal,Germany,\N
Aalen-heidenheim,Germany,\N
Bayreuth,Germany,BYU
Burg Feuerstein,Germany,URD
Hof,Germany,HOQ
Hassfurt,Germany,\N
Koblenz,Germany,\N
Trier,Germany,\N
Speyer,Germany,\N
Zweibruecken,Germany,ZQW
Donaueschingen,Germany,ZQL
Freiburg,Germany,\N
Mengen,Germany,\N
Schwaebisch Hall,Germany,\N
Soest,Germany,\N
Braunschweig,Germany,BWE
Kassel,Germany,KSF
Hildesheim,Germany,\N
Bremerhaven,Germany,BRV
Emden,Germany,EME
Leer,Germany,\N
Wilhelmshaven,Germany,WVN
Borkum,Germany,BMK
Norderney,Germany,NRD
Flensburg,Germany,FLF
Rendsburg,Germany,\N
Westerland,Germany,GWT
Armari Air Force Base,Estonia,\N
Kardla,Estonia,KDL
Kuressaare,Estonia,URE
Parnu,Estonia,EPU
Tallinn-ulemiste International,Estonia,TLL
Tartu,Estonia,TAY
Enontekio,Finland,ENF
Eura,Finland,\N
Halli,Finland,KEV
Helsinki,Finland,HEM
Helsinki,Finland,HEL
Hameenkyro,Finland,\N
Hanko,Finland,\N
Hyvinkaa,Finland,HYV
Kikala,Finland,\N
Immola,Finland,\N
Kitee,Finland,KTQ
Ivalo,Finland,IVL
Joensuu,Finland,JOE
Jyvaskyla,Finland,JYV
Kauhava,Finland,KAU
Kemi,Finland,KEM
Kajaani,Finland,KAJ
Kauhajoki,Finland,KHJ
Kruunupyy,Finland,KOK
Kemijarvi,Finland,\N
Kuusamo,Finland,KAO
Kittila,Finland,KTT
Kuopio,Finland,KUO
Vesivehmaa,Finland,QLF
Lappeenranta,Finland,LPP
Mariehamn,Finland,MHQ
Menkijarvi,Finland,\N
Mikkeli,Finland,MIK
Nummela,Finland,\N
Oulu,Finland,OUL
Piikajarvi,Finland,\N
Pori,Finland,POR
Pudasjarvi,Finland,\N
Pyhasalmi,Finland,\N
Pattijoki,Finland,\N
Rantasalmi,Finland,\N
Rovaniemi,Finland,RVN
Rayskala,Finland,\N
Savonlinna,Finland,SVL
Selanpaa,Finland,\N
Sodankyla,Finland,SOT
Tampere,Finland,TMP
Teisko,Finland,\N
Turku,Finland,TKU
Utti,Finland,UTI
Vaasa,Finland,VAA
Varkaus,Finland,VRK
Ylivieska-raudaskyla,Finland,YLI
Belfast,United Kingdom,BFS
Enniskillen,United Kingdom,ENK
Belfast,United Kingdom,BHD
Londonderry,United Kingdom,LDY
Birmingham,United Kingdom,BHX
Coventry,United Kingdom,CVT
Leicester,United Kingdom,\N
Golouchestershire,United Kingdom,GLO
Halfpenny Green,United Kingdom,\N
Pailton,United Kingdom,GBA
Turweston,United Kingdom,\N
Wellesbourne,United Kingdom,\N
Manchester,United Kingdom,MAN
Woodfort,United Kingdom,\N
Chivenor,United Kingdom,\N
Newquai,United Kingdom,NQY
Lyneham,United Kingdom,LYE
Boscombe Down,United Kingdom,\N
Culdrose,United Kingdom,\N
St. Athan,United Kingdom,\N
Yeovilton,United Kingdom,YEO
Haverfordwest,United Kingdom,HAW
Cardiff,United Kingdom,CWL
Swansea,United Kingdom,SWS
Bristol,United Kingdom,BRS
Liverpool,United Kingdom,LPL
London,United Kingdom,LTN
Plymouth,United Kingdom,PLH
Bournemouth,United Kingdom,BOH
Southampton,United Kingdom,SOU
Lasham,United Kingdom,QLA
Alderney,Guernsey,ACI
Guernsey,Guernsey,GCI
Jersey,Jersey,JER
Shoreham By Sea,United Kingdom,ESH
Biggin Hill,United Kingdom,BQH
London,United Kingdom,LGW
London,United Kingdom,LCY
Farnborough,United Kingdom,FAB
Chalsgrove,United Kingdom,\N
Blackbushe,United Kingdom,BBS
London,United Kingdom,LHR
Southend,United Kingdom,SEN
Lydd,United Kingdom,LYX
Manston,United Kingdom,MSE
Brough,United Kingdom,\N
Carlisle,United Kingdom,CAX
Repton,United Kingdom,\N
Blackpool,United Kingdom,BLK
Humberside,United Kingdom,HUY
Barrow Island,United Kingdom,BWF
Leeds,United Kingdom,LBA
Warton,United Kingdom,WRT
Hawarden,United Kingdom,CEG
Isle Of Man,Isle of Man,IOM
Newcastle,United Kingdom,NCL
Teesside,United Kingdom,MME
East Midlands,United Kingdom,EMA
Llanbedr,United Kingdom,\N
Ternhill,United Kingdom,\N
Shawbury,United Kingdom,\N
Woodvale,United Kingdom,\N
Kirkwall,United Kingdom,KOI
Sumburgh,United Kingdom,LSI
Wick,United Kingdom,WIC
Aberdeen,United Kingdom,ABZ
Inverness,United Kingdom,INV
Glasgow,United Kingdom,GLA
Edinburgh,United Kingdom,EDI
Islay,United Kingdom,ILY
Prestwick,United Kingdom,PIK
Benbecula,United Kingdom,BEB
Scatsta,United Kingdom,SCS
Dundee,United Kingdom,DND
Stornoway,United Kingdom,SYY
Tiree,United Kingdom,TRE
Leuchars,United Kingdom,ADX
Lossiemouth,United Kingdom,LMO
Cambridge,United Kingdom,CBG
Peterborough,United Kingdom,\N
Norwich,United Kingdom,NWI
London,United Kingdom,STN
North Weald,United Kingdom,\N
Fowlmere,United Kingdom,\N
Cranfield,United Kingdom,\N
Exeter,United Kingdom,EXT
Bristol,United Kingdom,FZO
Oxford,United Kingdom,OXF
Benson,United Kingdom,BEX
Lakenheath,United Kingdom,LKZ
Mildenhall,United Kingdom,MHZ
Wattisham,United Kingdom,\N
Wyton,United Kingdom,QUY
Fairford,United Kingdom,FFD
Brize Norton,United Kingdom,BZZ
Odiham,United Kingdom,ODH
Cosford,United Kingdom,\N
Northolt,United Kingdom,NHT
Coningsby,United Kingdom,QCY
Dishforth,United Kingdom,\N
Leeming,United Kingdom,\N
Church Fenton,United Kingdom,\N
Honington,United Kingdom,BEQ
Cottesmore,United Kingdom,\N
Scampton,United Kingdom,SQZ
Wittering,United Kingdom,\N
Linton-on-ouse,United Kingdom,HRT
Waddington,United Kingdom,WTN
Topcliffe,United Kingdom,\N
Cranwell,United Kingdom,\N
Barkston Heath,United Kingdom,\N
Marham,United Kingdom,KNF
Mount Pleasant,Falkland Islands,MPN
Amsterdam,Netherlands,AMS
Weert,Netherlands,\N
Maastricht,Netherlands,MST
Deelen,Netherlands,\N
Drachten,Netherlands,\N
Eindhoven,Netherlands,EIN
Groningen,Netherlands,GRQ
Gilze-rijen,Netherlands,GLZ
De Kooy,Netherlands,DHR
Lelystad,Netherlands,LEY
Leeuwarden,Netherlands,LWR
Rotterdam,Netherlands,RTM
Soesterberg,Netherlands,UTC
Enschede,Netherlands,ENS
Valkenburg,Netherlands,LID
Woensdrecht,Netherlands,WOE
Cork,Ireland,ORK
Galway,Ireland,GWY
Dublin,Ireland,DUB
Connaught,Ireland,NOC
Kerry,Ireland,KIR
Casement,Ireland,\N
Shannon,Ireland,SNN
Sligo,Ireland,SXL
Waterford,Ireland,WAT
Aarhus,Denmark,AAR
Billund,Denmark,BLL
Copenhagen,Denmark,CPH
Esbjerg,Denmark,EBJ
Gronholt,Denmark,\N
Karup,Denmark,KRP
Laeso,Denmark,BYR
Maribo,Denmark,MRW
Odense,Denmark,ODE
Krusa-padborg,Denmark,\N
Copenhagen,Denmark,RKE
Ronne,Denmark,RNN
Soenderborg,Denmark,SGD
Skrydstrup,Denmark,SKS
Skive,Denmark,SQW
Thisted,Denmark,TED
Kolding,Denmark,\N
Vagar,Faroe Islands,FAE
Vesthimmerland,Denmark,\N
Stauning,Denmark,STA
Aalborg,Denmark,AAL
Luxemburg,Luxembourg,LUX
Alesund,Norway,AES
Andoya,Norway,ANX
Alta,Norway,ALF
Voss,Norway,\N
Bronnoysund,Norway,BNN
Bodo,Norway,BOO
Bergen,Norway,BGO
Batsfjord,Norway,BJF
Kristiansand,Norway,KRS
Geilo,Norway,DLD
Bardufoss,Norway,BDU
Harstad/Narvik,Norway,EVE
Fagernes,Norway,VDB
Floro,Norway,FRO
Oslo,Norway,OSL
Haugesund,Norway,HAU
Hasvik,Norway,HAA
Kristiansund,Norway,KSU
Kjeller,Norway,\N
Kirkenes,Norway,KKN
Farsund,Norway,FAN
Molde,Norway,MOL
Mosjoen,Norway,MJF
Lakselv,Norway,LKL
Notodden,Norway,NTB
Orland,Norway,OLA
Roros,Norway,RRS
Rygge,Norway,RYG
Svalbard,Norway,LYR
Skien,Norway,SKE
Stord,Norway,SRP
Sandnessjoen,Norway,SSJ
Tromso,Norway,TOS
Sandefjord,Norway,TRF
Trondheim,Norway,TRD
Stavanger,Norway,SVG
Warsaw,Poland,\N
Gdansk,Poland,GDN
Krakow,Poland,KRK
Katowice,Poland,\N
Katowice,Poland,KTW
Mielec,Poland,\N
Poznan,Poland,POZ
Rzeszow,Poland,RZE
Szczecin,Poland,SZZ
Slupsk,Poland,OSP
Shapaja,Poland,\N
Warsaw,Poland,WAW
Wroclaw,Poland,WRO
Zielona Gora,Poland,IEG
Linkoeping,Sweden,\N
Norrkoeping,Sweden,\N
Uppsala,Sweden,\N
Ronneby,Sweden,RNB
Rada,Sweden,\N
Gothenborg,Sweden,GOT
Joenkoeping,Sweden,JKG
Falkoping,Sweden,\N
Lidkoping,Sweden,LDK
Gothenborg,Sweden,GSE
Skovde,Sweden,KVB
Trollhattan,Sweden,THN
Karlsborg,Sweden,\N
Satenas,Sweden,\N
Stockholm,Sweden,\N
Karlskoga,Sweden,KSK
Mora,Sweden,MXX
Stockholm,Sweden,NYO
Arvika,Sweden,\N
Emmaboda,Sweden,\N
Ljungby,Sweden,\N
Kristianstad,Sweden,KID
Landskrona,Sweden,\N
Oskarshamn,Sweden,OSK
Anderstorp,Sweden,\N
Kalkmar,Sweden,KLR
Malmoe,Sweden,MMX
Halmstad,Sweden,HAD
Hagshult,Sweden,\N
Vaxjo,Sweden,VXO
Hallviken,Sweden,\N
Hede,Sweden,\N
Sveg,Sweden,EVG
Gallivare,Sweden,GEV
Hudiksvall,Sweden,HUV
Jokkmokk,Sweden,\N
Kramfors,Sweden,KRF
Lycksele,Sweden,LYC
Optand,Sweden,\N
Sundsvall,Sweden,SDL
Ornskoldsvik,Sweden,OER
Pitea,Sweden,\N
Kiruna,Sweden,KRN
Orsa,Sweden,\N
Skelleftea,Sweden,SFT
Sattna,Sweden,\N
Umea,Sweden,UME
Vilhelmina,Sweden,VHM
Arvidsjaur,Sweden,AJR
Orebro,Sweden,ORB
Vasteras,Sweden,VST
Lulea,Sweden,LLA
Vidsel,Sweden,\N
Arboga,Sweden,\N
Stockholm,Sweden,ARN
Stockholm,Sweden,BMA
Borlange,Sweden,BLE
Hultsfred,Sweden,HLF
Gavle,Sweden,GVX
Linkoeping,Sweden,LPI
Norrkoeping,Sweden,NRK
Eskilstuna,Sweden,EKT
Visby,Sweden,VBY
Kalixfors,Sweden,\N
Spangdahlem,Germany,SPM
Ramstein,Germany,RMS
Giebelstadt,Germany,GHF
Brueckeburg,Germany,\N
Celle,Germany,ZCN
Rheine-brentlange,Germany,\N
Fritzlar,Germany,FRZ
Laupheim,Germany,\N
Mendig,Germany,\N
Niederstetten,Germany,\N
Roth,Germany,\N
Fassberg,Germany,\N
Grafenwoehr,Germany,\N
Hanau,Germany,ZNF
Hohenfels,Germany,\N
Kitzingen,Germany,KZG
Nordholz,Germany,FCN
Diepholz,Germany,\N
Geilenkirchen,Germany,GKE
Hohn,Germany,\N
Jever,Germany,\N
Laage,Germany,RLG
Noervenich,Germany,\N
Schleswig,Germany,WBG
Wittmundhafen,Germany,\N
Wunstorf,Germany,\N
Vilseck,Germany,\N
Coleman,Germany,\N
Wiesbaden,Germany,WIE
Landsberg,Germany,\N
Buechel,Germany,\N
Erding,Germany,\N
Fuerstenfeldbruck,Germany,FEL
Holzdorf,Germany,\N
Ingolstadt,Germany,IGS
Lechfeld,Germany,\N
Neuburg,Germany,\N
Guetersloh,Germany,GUT
Alexander Bay,South Africa,ALJ
Aggeneys,South Africa,AGZ
Brakpan,South Africa,\N
Bisho,South Africa,BIY
Bloemfontein,South Africa,BFN
Bethlehem,South Africa,\N
Bothaville,South Africa,\N
Cape Town,South Africa,CPT
Calvinia,South Africa,\N
Durban,South Africa,DUR
East London,South Africa,ELS
Ermelo,South Africa,\N
Ficksburg,South Africa,FCB
Johannesburg,South Africa,GCJ
George,South Africa,GRJ
Graaff Reinet,South Africa,\N
Grahamstown,South Africa,\N
Greytown,South Africa,\N
Harmony,South Africa,\N
Harrismith,South Africa,HRS
Hoedspruit,South Africa,HDS
Hendrik Verwoerddam,South Africa,\N
Johannesburg,South Africa,JNB
Klerksdorp,South Africa,KXE
Kimberley,South Africa,KIM
Krugersdorp,South Africa,\N
Kroonstad,South Africa,\N
Kuruman,South Africa,KMH
Kleinsee,South Africa,KLZ
Johannesburg,South Africa,HLA
Lichtenburg,South Africa,\N
Lambertsbaai,South Africa,\N
Langebaanweg,South Africa,SDB
Ladysmith,South Africa,LAY
Middelburg,South Africa,\N
Margate,South Africa,MGH
Marble Hall,South Africa,\N
Majuba Power Station,South Africa,\N
Malalane,South Africa,LLE
Musina,South Africa,\N
Mkuze,South Africa,MZQ
Newcastle,South Africa,NCS
Nylstroom,South Africa,\N
Overberg,South Africa,OVG
Oudtshoorn,South Africa,OUH
Port Elizabeth,South Africa,PLZ
Plettenberg Bay,South Africa,PBZ
Phalaborwa,South Africa,PHW
Polokwane,South Africa,\N
Port Saint Johns,South Africa,JOH
Pietermaritzburg,South Africa,PZB
Pilanesberg,South Africa,NTY
Potgietersrus,South Africa,PTG
Potchefstroom,South Africa,PCF
Parys,South Africa,\N
Queenstown,South Africa,UTW
Richard's Bay,South Africa,RCB
Rustenburg,South Africa,\N
Robertson,South Africa,ROD
Springbok,South Africa,SBU
Secunda,South Africa,ZEC
Saldanha,South Africa,\N
Springs,South Africa,\N
Swartkop,South Africa,\N
Sishen,South Africa,SIS
Swellendam,South Africa,\N
Skukuza,South Africa,SZK
Tommy's Field,South Africa,\N
Bloemfontein,South Africa,\N
Tutuka,South Africa,\N
Tzaneen,South Africa,LTA
Ulundi,South Africa,ULD
Upington,South Africa,UTN
Umtata,South Africa,UTT
Vryburg,South Africa,VRU
Durban,South Africa,VIR
Vredendal,South Africa,VRE
Vereeniging,South Africa,\N
Pretoria,South Africa,PRY
Witbank,South Africa,\N
Waterkloof,South Africa,WKF
Welkom,South Africa,\N
Ysterplaat,South Africa,\N
Zeerust,South Africa,\N
Francistown,Botswana,FRW
Jwaneng,Botswana,JWA
Kasane,Botswana,BBK
Maun,Botswana,MUB
Gaberone,Botswana,GBE
Selebi-phikwe,Botswana,PKW
Brazzaville,Congo (Brazzaville),BZV
Owando,Congo (Kinshasa),FTX
Ouesso,Congo (Kinshasa),OUE
Pointe-noire,Congo (Brazzaville),PNR
Manzini,Swaziland,MTS
Bangui,Central African Republic,BGF
Berberati,Central African Republic,BBT
Bata,Equatorial Guinea,BSG
Malabo,Equatorial Guinea,SSG
Wide Awake,Saint Helena,ASI
Plaisance,Mauritius,MRU
Rodriguez Island,Mauritius,RRG
Diego Garcia Island,British Indian Ocean Territory,NKW
Tiko,Cameroon,TKC
Douala,Cameroon,DLA
Maroua,Cameroon,MVR
Foumban,Cameroon,FOM
N'gaoundere,Cameroon,NGE
Garoua,Cameroon,GOU
Bafoussam,Cameroon,BFX
Bamenda,Cameroon,BPC
Yaounde,Cameroon,YAO
Kasompe,Zambia,CGJ
Livingstone,Zambia,LVI
Lusaka,Zambia,LUN
Mfuwe,Zambia,MFU
Mongu,Zambia,MNR
Ndola,Zambia,NLA
Southdowns,Zambia,KIW
Moroni,Comoros,HAH
Moheli,Comoros,NWA
Anjouan,Comoros,AJN
Dzaoudzi,Mayotte,DZA
St.-denis,Reunion,RUN
St.-pierre,Reunion,ZSE
Antananarivo,Madagascar,TNR
Miandrivazo,Madagascar,ZVA
Sainte Marie,Madagascar,SMS
Toamasina,Madagascar,TMM
Morondava,Madagascar,MOQ
Antsiranana,Madagascar,DIE
Mananara,Madagascar,WMR
Andapa,Madagascar,ZWA
Ambilobe,Madagascar,AMB
Antalaha,Madagascar,ANM
Analalava,Madagascar,HVA
Mahajanga,Madagascar,MJN
Nosy-be,Madagascar,NOS
Besalampy,Madagascar,BPY
Maroantsetra,Madagascar,WMN
Sambava,Madagascar,SVB
Vohemar,Madagascar,VOH
Antsohihy,Madagascar,WAI
Ampampamena,Madagascar,IVA
Tolagnaro,Madagascar,FTU
Fianarantsoa,Madagascar,WFI
Farafangana,Madagascar,RVA
Manakara,Madagascar,WVK
Mananjary,Madagascar,MNJ
Morombe,Madagascar,MXM
Toliara,Madagascar,TLE
M'banza-congo,Angola,SSY
Benguela,Angola,BUG
Cabinda,Angola,CAB
Huambo,Angola,NOV
